$0, $thruProtocol, $thruWebServer, $thruWDisk, $thruCGIAPP, $thruWebReply, $thruGetObjects, $thruProtReply, $thruDBProcess, $thruDBOpt, $N, $uProtocol, $uWebServer, $uWDisk, $uCGIAPP, $uWebReply, $uGetObjects, $uProtReplly, $uDBProcess, $uDBOpt, $N, $wUser, $wProtocol, $wSendStatic
23, 0.0590339, 0.0590338, 0.0514869, 0.00590338, 0.058965, 0.0183476, 0.98217, 0.0159866, 0.0758487, 23, 23, 22.9157, 0.00514869, 1.0118, 1.01759, 0.0309624, 0.522596, 0.386828, 0.00758487, 23, 0, 0, 0
24, 0.0589736, 0.0589736, 0.0514389, 0.00589735, 0.058908, 0.0183516, 0.981927, 0.015979, 0.0758128, 24, 24, 23.9156, 0.00514389, 1.01125, 1.01689, 0.0309899, 0.522526, 0.386645, 0.00758128, 24, 0, 0, 0
25, 0.0589194, 0.0589194, 0.0513958, 0.00589195, 0.0588569, 0.0183551, 0.98169, 0.0159724, 0.0757815, 25, 25, 24.9156, 0.00513958, 1.01074, 1.01628, 0.0310151, 0.522462, 0.386485, 0.00757815, 25, 0, 0, 0
26, 0.0588706, 0.0588706, 0.0513568, 0.00588706, 0.0588108, 0.0183581, 0.98146, 0.0159666, 0.0757539, 26, 26, 25.9155, 0.00513568, 1.01027, 1.01575, 0.0310381, 0.522401, 0.386345, 0.00757539, 26, 0, 0, 0
27, 0.0588264, 0.0588264, 0.0513215, 0.00588265, 0.0587692, 0.0183606, 0.981236, 0.0159615, 0.0757296, 27, 27, 26.9155, 0.00513215, 1.00984, 1.01528, 0.0310592, 0.522345, 0.386221, 0.00757296, 27, 0, 0, 0
28, 0.0587863, 0.0587863, 0.0512895, 0.00587863, 0.0587314, 0.0183627, 0.98102, 0.0159569, 0.075708, 28, 28, 27.9155, 0.00512895, 1.00943, 1.01487, 0.0310787, 0.522291, 0.386111, 0.0075708, 28, 0, 0, 0
29, 0.0587497, 0.0587497, 0.0512602, 0.00587497, 0.0586969, 0.0183646, 0.980812, 0.0159529, 0.0756888, 29, 29, 28.9154, 0.00512602, 1.00906, 1.01451, 0.0310967, 0.522242, 0.386013, 0.00756888, 29, 0, 0, 0
30, 0.0587163, 0.0587163, 0.0512334, 0.00587163, 0.0586656, 0.0183662, 0.98061, 0.0159493, 0.0756716, 30, 30, 29.9154, 0.00512334, 1.00872, 1.0142, 0.0311133, 0.522195, 0.385925, 0.00756716, 30, 0, 0, 0
31, 0.0586856, 0.0586856, 0.0512088, 0.00586856, 0.0586367, 0.0183675, 0.980415, 0.015946, 0.0756562, 31, 31, 30.9153, 0.00512088, 1.00839, 1.01391, 0.0311288, 0.522151, 0.385847, 0.00756562, 31, 0, 0, 0
32, 0.0586574, 0.0586574, 0.0511862, 0.00586573, 0.0586103, 0.0183686, 0.980227, 0.0159431, 0.0756424, 32, 32, 31.9153, 0.00511862, 1.00809, 1.01367, 0.0311431, 0.522109, 0.385776, 0.00756424, 32, 0, 0, 0
33, 0.0586313, 0.0586313, 0.0511653, 0.00586314, 0.0585859, 0.0183696, 0.980047, 0.0159404, 0.0756298, 33, 33, 32.9153, 0.00511653, 1.00781, 1.01345, 0.0311565, 0.52207, 0.385712, 0.00756298, 33, 0, 0, 0
34, 0.0586073, 0.0586072, 0.0511459, 0.00586072, 0.0585633, 0.0183704, 0.979872, 0.015938, 0.0756184, 34, 34, 33.9153, 0.00511459, 1.00755, 1.01325, 0.031169, 0.522032, 0.385654, 0.00756184, 34, 0, 0, 0
35, 0.0585849, 0.0585849, 0.051128, 0.00585849, 0.0585424, 0.018371, 0.979705, 0.0159358, 0.075608, 35, 35, 34.9152, 0.0051128, 1.00731, 1.01307, 0.0311807, 0.521997, 0.385601, 0.0075608, 35, 0, 0, 0
36, 0.058564, 0.0585641, 0.0511112, 0.00585641, 0.058523, 0.0183716, 0.979544, 0.0159338, 0.0755985, 36, 36, 35.9152, 0.00511112, 1.00707, 1.01291, 0.0311917, 0.521963, 0.385552, 0.00755985, 36, 0, 0, 0
37, 0.0585447, 0.0585447, 0.0510956, 0.00585447, 0.0585048, 0.0183721, 0.979389, 0.015932, 0.0755898, 37, 37, 36.9152, 0.00510956, 1.00686, 1.01277, 0.031202, 0.521931, 0.385508, 0.00755898, 37, 0, 0, 0
38, 0.0585265, 0.0585265, 0.051081, 0.00585265, 0.0584878, 0.0183725, 0.97924, 0.0159303, 0.0755817, 38, 38, 37.9151, 0.0051081, 1.00665, 1.01264, 0.0312117, 0.521901, 0.385467, 0.00755817, 38, 0, 0, 0
39, 0.0585094, 0.0585095, 0.0510672, 0.00585095, 0.0584719, 0.0183728, 0.979098, 0.0159287, 0.0755743, 39, 39, 38.9151, 0.00510672, 1.00646, 1.01252, 0.0312209, 0.521872, 0.385429, 0.00755743, 39, 0, 0, 0
40, 0.0584935, 0.0584935, 0.0510543, 0.00584935, 0.058457, 0.0183731, 0.978961, 0.0159273, 0.0755673, 40, 40, 39.9151, 0.00510543, 1.00628, 1.01242, 0.0312296, 0.521845, 0.385393, 0.00755673, 40, 0, 0, 0
